순번,Q,A
9634,야전축성,"야전 지역에서 지형의 자연적인 방어력을 강화시켜 적의 공격으로부터 인원, 장비, 물자 등을 보호하거나 피해를 감소시키기 위하여 실시하는 축성작업을 가리킨다. 방어시에 점령된 지역을 따라 진지편성을 하고 행하며, 공격시에도 작전 중의 재편성, 재보급, 혹은 점령한 진지의 강화를 위해 공격을 멈추어야 할 경우 적의 역습을 포함한 각종 위협에 대비하기 위하여 행해진다. 야전축성의 기본 고려사항으로는 화기의 효과적인 운용이 가능한 총상 및 포상의 구축, 적의 탐지를 최대한 방지하기 위한 위장, 단순성 및 가용자재를 최대한 이용하는 경제성, 위험에 최대한 대비한 방호 등을 들 수 있으며, 축성을 행한 측으로 하여금 가능한 한 최대의 사격과 이동을 할 수 있도록 하는 동시에 축성지에 공격해 오는 측의 기동 및 사격효과는 가능한 한 제한할 수 있도록 해야 한다. 처음부터 완전한 형태로 구축하기보다는 비록 임시구축일지라도 가능한 한 신속한 굴토 및 주변 가용자재의 이용으로 최대한 빠르게 축성작업을 완료한 뒤 추가로 보급되는 장비를 이용하여 완성하는 것이 정석이다"
9635,야전치중대,"전투에 즉각적으로 필요하지 않은 전투근무지원을 제공하는 치중대의 한 종류로서, 전투치중대와 상대되는 개념이다. 전방부대와 전투치중대를 효과적으로 지원하는 동시에 상급부대와 협조가 용이하고 전투에 방해가 되지 않는 후방지역에 위치하여 전투부대의 작전소요를 획득 및 보급하고, 전투에 당장 소요되지 않는 기타의 보급품을 관리한다"
9636,야전포병,"육군 전투병과의 분류 중 한 가지. 같은 포병으로 대공 임무를 수행하는 고사포병과 대비되는 병과로서, 견인포와 자주포를 포괄하는 각종 야전포와 다연장 로켓 및 지대지 유도탄 체계를 운용하여 대 지상작전을 수행하는 포병요원 및 부대를 가리키며, 지상전투작전을 수행하는 표적획득 수단을 포함한다. 일반적으로 포병이라 하면 이 야전포병을 가리킨다. 지상군에서 순수한 의미로 가장 높은 화력을 보유하고 있는 병과로서, 타 부대에 대한 지원 임무 및 상대 포병에 대한 대응을 그 주된 임무로 한다."
9650,얄타회담,"제 2차 세계대전의 전후처리에 대한 기본방침에 대하여 협의하기 위해 연합국 수뇌 사이에서 시행된 회담. 1945년 2월 4일부터 동월 11일까지 크림 반도의 얄타에서 미국의 루스벨트 대통령과, 영국의 처칠 수상, 소련의 스탈린 서기장의 3개국 수뇌가 참석한 가운데 실시되었다. 그 주요한 결과물로는 얄타협정과 얄타 비밀협정이 있다. 얄타협정의 주요 합의사항은 국제연합(UN)의 설립에 관한 내용과 독일 분할점령의 결정 및 배상금 문제, 전쟁범죄자 처벌, 폴란드의 영토조정 및 유고슬라비아 신정부 수립에 대한 내용 및 3국 외무장관의 정기적 회담에 대한 내용 등이 있다. 얄타 비밀협정은 소련의 대일전 참전에 대한 조건을 명시한 것으로, 소련은 사할린 및 쿠릴 열도의 소련 귀속 인정, 다롄(大連)항의 국제화 및 뤼순(順)항에 대한 조차권의 회복, 남만주철도와 동중국철도의 중소 공동운영 등의 권익을 보장받는 대신 3개월 이내에 대일전에 참전할 것을 약속하였다. 또한 외몽골의 현상 유지 및 소련이 장졔스(蔣介石) 정부를 유일한 중국정부로 인정할 것 등도 합의되었다."
9695,양익포위,"중앙, 좌익, 우익의 3개 주요 전술집단을 이용하는 포위방법으로, 중앙부대의 조공이나 간접사격 또는 항공사격 등의 수단을 이용하여 적을 고착시킨 상태에서 아군의 좌익부대와 우익부대가 적의 양 측방으로 기동하는 포위 기동형태를 가리킨다. 이는 적 후방에 있는 목표를 공격하거나 적의 측후방을 직접 공격하여 포위 섬멸하는 것을 그 목적으로 한다. 양익포위를 성공적으로 완료하기 위해서는 좌익부대와 우익부대가 최대한 신속하게 측방으로의 기동을 완료하여야 하며, 이들이 적의 측방으로 기동을 완료할 때까지 중앙부대가 적 부대를 고착시켜 둘 수 있어야 한다. 제 2차 포에니 전쟁의 칸네 전투에서 한니발의 지휘하에 선보였던 카르타고군의 기동형태나 임진왜란 시기 충무공 이순신의 지휘하에 조선수군이 운용했던 학익진 대형은 양익포위의 이상적인 예라고 할 수 있다."
9729,어뢰대항책,"어뢰공격에 대한 방어를 위하여 사용하는 수단 및 전술적 방법을 가리킨다. 어뢰의 추적을 피하는 대항책의 형태가 가장 대표적이다. 어뢰 회피의 경우, 무유도 어뢰에 대해서는 그 항적을 조기에 발견하여 회피하는 방책을 사용하였으나, 음향유도(Acoustic Homming) 능력을 갖춘 유도 어뢰의 경우에는 음향대항체계(Acoustic Countermeasure System)가 이용된다. 이는 어뢰의 조기탐지를 위한 소나장비와 어뢰에 장비된 음향호밍 장비를 교란하기 위한 음향발생장치로 구성되어 있다. 또한 함정에서 발생하는 소음을 줄여 정숙성을 높여 발견확률을 낮추고 함정의 속도를 증가시켜 회피율을 높이며, 선체구조의 개선을 통해 어뢰 피격시의 피해를 줄이는 등의 수단도 사용된다."
9808,에이비씨병기,"대량살상무기를 달리 이르는 말로, 대표적인 대량 살상무기인 핵무기(Atomic weapon), 생물학 무기(Biological weapon), 화학 무기(Chemical weapon)의 두문자를 따서 ABC병기라 부르며, 원자무기를 Nuclear weapon이라 하여 NBC 병기라 부르기도 한다. 핵무기가 사용되었던 히로시마, 나가사키의 예에서 드러나는 바와 같이 비인도적인 대량 살상을 부르는 무기들이기 때문에 현대의 군축 움직임에서 주요 표적이 되고 있는 동시에, 재래식 무기 및 그를 운용하는 전술에 있어서도 ABC병기의 공격에 대항하는 방호수단 및 그 운용에 대한 것들이 연구되고 있다. 그 예로 3세대 전차로 분류되는 각국의 신형 전차들은 대부분 이와 같은 무기의 공격에서 탑승자를 보호하는 NBC방호장비-핵무기에 대해서는 공격에 의한 폭발 자체라기보다는 그 이후의 영향에 대한 것이지만-를 갖추고 있다."
9864,여수순천사건,"1948년 10월 20일 국군 제 14연대에 소속되었던 좌익계열 군인들의 주도로 제 14연대 주둔지였던 전라남도 여수에서 일어난 반란사건을 가리킨다. 1948년 4월 3일 제주도에서 남한 단독정부 수립에 반대하는 무장봉기가 발생하였고 이는 곧 유격전화되었다. 이에 군과 경찰은 합동으로 진압작전을 진행하였고, 10월에 들어 유격대의 공세가 강화되자 여수에 주둔중이었던 제 14연대 1대대 병력을 증원으로 제주도에 급파하기로 결정되었다. 이에 공산당 지하조직원이었던 김지회 중위, 홍순석 중위, 지창수 상사 등이 주도하여 동족을 칠 수 없다는 대의명분을 내걸고 반란을 일으켰다. 이들은 20일에 여수를 장악하였고, 광주에 주둔하고 있던 제 4연대의 1개 중대가 진압군으로 출동하였으나 부대 내의 좌익계 사병들이 장교를 사살한 다음 반란군에 합세하였다. 20일 오후 3개 부대로 재편성한 반란군은 주변 지역의 장악에 나섰으며, 21일 정오를 전후해서는 여수, 순천, 보성, 광양의 거의 전 지역과 하동, 남원, 구례, 곡성 지역의 일부 지역이 반란군에 의해 장악되었다. 이에 이승만 정부와 미군정 당국은 21일 반군토벌전투사령부를 광주에 설치하여 진압을 위한 부대로 제 3, 4, 6, 12, 15연대 등을 투입하였고 22일 계엄령을 선포하였다. 진압작전에 나선 정부군은 22일 순천을 점령하였고, 해군 함정으로 여수항을 봉쇄하고 항공기를 동원하는 등의 육해공 입체작전까지 수행하는 격전 끝에 27일 여수를 점령하여 반란사건은 일단락되었다. 그러나 잔류 반란군은 지리산으로 퇴각하여 유격전을 전개하였으며, 무차별 사격을 비롯한 진압군의 무리한 소탕작전과 부역자 색출 및 보복테러 등으로 인하여 무고한 민간인 사상자가 매우 많이 발생하였다. 이후 1950년 2월 호남지구의 계엄령이 해제되었다."
9896,역전상태,"대기가 안정되어 있는 상황에서 고도가 증가함에 따라 기온이 상승하는 상태를 가리킨다. 통상적으로 일출시나 일몰시에 잘 일어나며, 특히 대체로 청명하거나 구름이 3할 이하로 덮여 있는 하부 공기층에서 일출 후 약 1시간까지의 이른 아침에 일어나는 일이 많다. 화학무기의 살포효과가 일반적인 경우에 비해서 높아지기 때문에 화학무기의 살포에는 이 현상이 잘 일어나는 일출이나 일몰 시기가 가장 많이 이용된다."
9910,연결작전,"2개의 지상부대가 합류하는 작전을 가리킨다. 연결작전은 보통 공수작전에서의 낙하 후단계, 상륙작전의 함안이동 후단계에서 낙하, 상륙한 부대의 집결시, 분리되었던 부대의 재집결 및 아군 유격부대와의 조우시, 또는 고립부대와의 교대나 전면포위 당한 부대가 포위망을 뚫고 나올 경우에 이루어진다. 연결작전의 최초 단계에서는 정상적인 공격작전이 실시되며, 연결이 절박해지면서 차차 철저한 협조와 통제가 이루어지게 되고 관련부대에 대한 제한이 강화된다. 또한 공두보 또는 고립부대의 지구전 능력이 제한되어 있기 때문에 시간적인 요소가 작전수행에 있어 중요시된다. 연결작전은 사전에 그 계획이 협조되어야 하며, 지휘관계 및 책임과 지휘 및 참모연락, 기동계획과 통신계획의 협조, 화력협조 계획, 연결후의 행동 등이 계획수립 전에 고려되어야 한다. 연결작전시 각 부대 및 연결지점과 화력협조를 통제하기 위한 방책으로는 일반적으로 목표, 전투지경선, 전진축, 사격제한선, 사격협조선 등이 사용된다."
9939,연대전투단,"임시 편성의 한 사례로, 일반적인 보병연대에 전차, 기계화보병 등의 전투부대와 포병, 공병, 화학 등의 전투지원부대 및 의료, 보급, 수송 등의 전투근무지원부대 등을 배속시켜 독립적인 작전활동 능력을 강화하는 동시에 일반적 연대에 비하여 한층 강력한 전투력 발휘가 가능하도록 한 부대를 가리킨다. 여단(團:Brigade)과 비슷하나, 여단은 일반적으로 상시적인 편제인 데 비하여 연대전투단은 임시 편성이라는 점에서 차이가 있다. 연대전투단의 편성은 주로 1개 연대를 이용하여 독립적인 작전활동 및 임무를 수행해야 할 경우에 이루어지는데, 이 경우 보통 연대전투단장의 역할은 해당 연대의 연대장이 맡게 되나, 때에 따라서는 해당 연대가 소속된 사단의 부사단장이 그 역할을 맡기도 한다."
10058,연합해병사,"한미연합사 예하의 구성군사령부로서 한미 해병전력의 통합 발전 및 한반도 내에서의 연합해병전력 운용을 담당하는 최고사령부이다. 한반도 내에서 전쟁 사태가 발생했을 경우 지상군구성군사령부, 해군구성군사령부, 공군구성군사령부, 특수전사령부와 더불어 해병대사령부로서 유엔군-연합군 사령관에게 그 전쟁수행전략을 수행하는 데 도움이 되는 다섯 번째 구성군을 제공하고, 연합사령관에게 배당된 한미 해병부대의 운용을 위한 편성상의 구조를 제공하는 것을 그 임무로 하고 있다. 1992년 12월 1일 창설되었으며, 연합해병사의 사령관은 평시에는 대한민국 해병대 사령관이 겸직하고 전시에는 미 태평양사령부의 미 해병대사령관이 겸직하도록 되어 있다."
10064,열 복사선,"복사 현상을 통해 열을 전달하는 복사광선을 말한다. 핵무기 관련 용어로서는 핵무기의 폭발로 인하여 피해를 입히는 요소 중 하나를 가리키는 말로서, 핵폭발로 인해 발생하여 주변에 피해를 입히는 강력한 열선을 가리킨다. 열복사선은 핵폭발에 의해서 발생한 열과 빛, 즉 폭발에 의한 고온 및 자외선, 가시광선, 적외선으로 구성되는데, 핵폭발이 일어나면 이로 인하여 극히 작은 공간 내에 막대한 양의 열에너지가 방출됨으로써 영향권 안의 인명에 대하여 화상을 입히고 물질을 점화, 연소, 용융시키게 된다. 핵폭발의 전체 피해에서 약 35%정도가 열복사선에 의하여 발생하게 된다."
10083,열상장비,"수동식 야시장비의 일종으로, 모든 물체가 절대온도 영도 이상에서는 적외선을 방출한다는 점을 이용하여. 표적 자체에서 방출되는 적외선을 모아 눈으로 볼 수 있는 가시광선으로 변환시킴으로써 빛의 공급이 전혀 없는 야간이나 어두운 공간에서도 표적을 탐지할 수 있는 장비를 가리킨다. 열상장비는 외계의 빛이 전혀 공급되지 않아도 탐지가 가능하며, 수풀 등의 은폐물로 은폐된 목표에 대해서도 온도차에 따른 적외선 방출을 통해 구분하여 탐지할 수 있으며, 적외선의 높은 대기투과 특성 때문에 안개나 연막 등으로 인하여 시계가 불량한 상황에서도 상대적으로 우수한 표적탐지 능력을 지니고 있다(그러나 심한 안개나 악천후 하에서 탐지능력이 크게 떨어지는 것은 사실이다.). 열상장비의 시스템은 적외선 광학계를 통해 들어온 빔을 추출하여 영상화하는 방법에 따라 적외선 비디콘이나 열전탐지 비디콘 등의 텔레비전 카메라 튜브 방식으로 영상화를 행하는 비기계적 주사방식과 광학 주사장치와 광학부품 및 기계적 가공품으로 과학빔을 탐지기에 주사해 주는 장치를 사용하는 기계적 주사방식으로 나뉘어진다. 한국군에서 사용하는 열상장비는 캐나다에서 제작한 타이거아이 열상장비로 1991년에 처음 도입되었으며, 인원 3km, 차량 8km의 탐지거리를 가지고 있다."
10136,영상정보,"지상 또는 공중에서 영상획득 감지기(센서)를 사용하여 획득된 첩보를 분석하여 생산된 정보를 말하며, 일반적으로 필름화된 것(hard-copy)과 모니터에 시현되어 나타난 것(soft-copy)으로 구분된다. 이러한 영상정보는 적 시설, 장비의 위치와 지형의 특징, 적의 활동사항 등에 대하여 정확한 정보를 제공하지만 센서의 종류에 따라 그 수집활동이 기상에 영향을 받고, 정확한 분석을 위해 장시간이 소요되는 단점이 있다. 영상정보 센서의 종류로는 항공사진을 직접 촬영하는 광학 센서(Optics), 반도체 소자인 CCD를 이용하여 디지털 방식으로 영상을 획득하는 전자광학 센서(EO), 물체 고유의 복사에너지 차이를 감지하여 영상화하는 적외선 센서(IR), 레이더를 이용하여 전천후 광범위 정찰이 가능한 합성 개구 레이더(SAR)를 들 수 있다."
10159,예방전쟁,"인접국이나 가상적국과의 사이에서 전쟁의 발발이 당장 급박한 상태에 이르지는 않았으나 계속적으로 긴장이 고조됨으로 인하여 조만간에 전쟁의 개전이 불가피하다고 판단될 때, 상대국이 전력증강 등의 수단을 통해 유리한 전략태세 아래에서 전쟁을 개시하는 것을 예방하기 위하여 먼저 시작하는 전쟁을 가리킨다. 그러나, 예방전쟁의 실행 및 선언 여부의 결정에 있어 매우 중요하게 작용하는 부분인 자국에 대한 상대국의 위협 정도라는 요소는 그 판단 및 측정의 기준이 매우 주관적이다. 그렇기 때문에 먼저 공격을 가한 측에서 예방전쟁을 선언하였다 할지라도 이를 일반적인 전쟁선포나 선제공격 또는 기습공격과 구별하는 것은 대단히 모호하다. 예방전쟁으로 선언된 전쟁의 대표적인 예로는 2004년 현재까지 지속되고 있는 이라크 전쟁을 들 수 있다."
10383,외선작전,"내부에서 외부를 향해 작전하는 적에 대하여 후방병참선을 바깥쪽으로 유지하면서 여러 방향으로부터 구심적으로 이루어지는 작전을 가리킨다. 이는 처음부터 포위 또는 협격이 가능한 위치에서 작전하는 것으로, 적을 포위하기 쉽다는 위치상의 이점을 보유하고 있다는 점 과 적의 퇴로와 병참선을 위협하기 용이한 반면 아군의 병참선은 위협받지 않는다는 점 등에서 매우 유리한 작전이다. 또한 외선에 위치한 측은 내선에 위치한 측에 대하여 압력을 가하면서 작전의 수행을 위한 시간과 공간의 자유를 가지고 주동적으로 작전을 수행할 수 있다. 효과적인 외선작전의 수행을 위해서는 외선태세를 신속하게 수축시켜 구심적으로 전투력을 집중함으로써 상대편을 포위상태로 빠뜨려야 하며, 외선상에 분리된 각 부대간의 연락체계를 확실히 하고 작전수행을 신속히 진행함으로써 내선에 위치한 부대에 의해 각개격파를 당하는 일이 발생하지 않도록 유의하여야 한다."
10435,요란사격,"적의 예상 집결지, 지휘/통신소, 교통요지 및 숙영지나 주둔지 등에 간헐적으로 사격을 가하여 적의 이동을 제한하고 적에게 병력손실 및 사기저하를 강요하며, 적 부대를 혼란시키기 위한 목적을 가지고 실시하는 사격을 가리킨다. 해군에서는 이를 교란사격이라고 칭한다."
10453,용병술체계,"국가목표를 달성하기 위해 국가 통수기구로부터 전투부대에 이르기까지 군사력을 운용하는 군사전략, 작전술, 전술의 계층적 연관체계를 가리킨다. 전쟁을 어떻게 인식하느냐 하는 전쟁철학과 이를 바탕으로 준비된 군사력을 어떻게 운용할 것이냐에 관한 원리인 군사전략, 작전술 및 전술 이론을 포함하며, 군사관리지원체계와 함께 군사이론체계의 큰 분류 중 하나에 속한다."
10480,우발계획,군의 한 사령부에서 담당하고 있는 지리적 주요 하위영역에서 발생될 수 있을 것으로 예상되는 주요 우발 사태에 대하여 사전에 대비하기 위해 미리 마련해 놓은 계획을 가리킨다. 또한 정부 기관과 같은 민간 부문에서 당 기관이 담당하는 부분 및 그 주요 하위영역에서의 우발사태에 대한 대비계획을 의미하기도 한다.
10537,우주병기,"대기권 외를 통과하는 병기를 총칭하여 가리킨다. 이러한 병기의 범주에는 대기권 외에서만 활동하는 인공위성 뿐 아니라, 지상목표를 공격하기 위해 사용되는 비행궤도의 일부에 대기권 외의 영역이 포함되는 탄도미사일 등도 포함된다. 인공위성 탑재형의 우주병기는 미래의 군비경쟁에서 상당한 부분을 차지할 것으로 예상되는데, 1967년 1월의 우주조약으로 인하여 핵병기를 비롯한 대량파괴무기는 우주궤도에 올릴 수 없게 되었으나, 탄도탄 방어병기나 대 위성병기 등에 대해서는 아직까지 별다른 제한협정이 없기 때문에, 이들이 주요한 미래의 우주병기로 예상되고 있다."
10542,우주왕복선,"기존의 로켓이 단 한번밖에 사용할 수 없다는 단점을 개선하기 위해 여러 번 사용할 수 있는 로켓이라는 개념으로 만들어진 우주선. 1972년부터 개발이 시작되었고, 1981년 최초의 우주 왕복선인 컬럼비아호가 발사되었다. 우주 왕복선은 약 100회의 사용이 가능하다고 알려져 있으나 아직은 고가라는 문제가 있고, 발사시 사용하는 로켓 중 양단의 고체로켓은 약 10회 정도 반복사용이 가능하나, 중앙부의 액체 로켓은 결국 1회용이라는 것도 한계로 지적되고 있다. 우주왕복선은 탐사 외에도 인공위성의 회수 및 수리에 있어 많은 활약을 보였으며, 기존의 로켓에 비해 비교적 천천히 지구 궤도에 올라갈 수 있다는 특징이 있어 우주 망원경과 같은 크고 약한 구조물을 지구 궤도에 올려놓는 일도 가능하다. 기본적으로 기존의 로켓에 비해 많은 인원 및 장비를 우주까지 나를 수 있어 기존 로켓에 비해 범용성이 높다."
10553,우회기동,"적의 강력한 방어진지나 주력부대를 우회하여 지나치거나 그 상공을 통과하여 적 후방 종심지역의 결정적인 목표를 확보함으로써 적이 현재의 진지를 포기하거나 우회부대에 대한 대항을 위하여 주력을 전환시키도록 강요하여 원하는 지점에서 적의 부대를 격멸하기 위하여 주공과 조공이 상호지원거리 밖에서 작전하는 포위의 변형된 기동형태를 가리킨다. 단, 포위가 적의 퇴로를 차단한 상태에서 적의 작전지역 내에 가두어서 적을 격멸하는 반면 우회기동은 적의 진지를 포기하게 하거나 주력을 전환하도록 하여 진외결전을 강요함으로써 원하는 장소로 끌어내서 격멸한다는 점에서 두 가지 사이에는 차이가 있다. 우회기동을 성공시키기 위한 요소로는 기습달성을 위한 기만, 기도비닉, 우세한 기동력 및 주공과 조공이 상호지원거리 밖에서 독립적으로 작전할 수 있는 충분한 전투력의 확보를 들 수 있다. 우회기동시에는 적이 철수하여 새로운 방어지역을 점령하거나 적의 증원부대가 도착하기 전에 적의 주력을 격멸하여야 한다."
10761,웨이크도회담,"한국전쟁 기간 중인 1950년 10월 15일, 전쟁 상황에 대한 대화를 위해 미국의 트루먼 대통령과 맥아더 장군이 남태평양의 웨이크 섬에서 가진 전략회담을 가리킨다. 이 회담에서 맥아더는 시종 낙관론을 펼쳤는데, 북한군의 군사적 저항이 11월 23일 추수감사절까지는 끝날 것이며 크리스마스까지는 미 제 8군을 일본으로 되돌려 보내기를 희망한다는 언급 외에, 중공군의 개입 가능성에 대해서는 중공군이 개입 시기를 상실했기 때문에 개입할 가능성이 없으며, 중국의 동북부지방에 있는 30만 병력 가운데 압록강 연안에 배치되어 있는 것은 10만 내지 12만 5000명이고 이 중에서도 단지 5만 명에서 6만 명 정도만이 북한을 원조할 수 있는데다, 중공군은 공군력도 가지지 못했기 때문에 설령 이들이 개입해 온다 하더라도 아군의 공군력으로 살육전을 벌일 수 있다고 전망하였다. 또한 소련의 개입 가능성에 대해서도 부정적으로 평가하였다. 이 회담의 결과로 트루먼을 위시한 미국 지도부는 맥아더의 낙관론에 동조하여 전쟁의 조기종전을 확신하였고, 이로 인하여 유엔군의 추가파병 및 보급품의 추가선적을 제한하여 차후작전에 지장을 초래하게 되었으며, 중공군 개입 가능성에 대한 오판으로 유엔군 부대간의 상호 협조대책 및 기습에 대한 대비가 없어 중공군의 초기 공세 때 쓰라린 패배를 맛보게 되었다. 고 리라는 것이다. 맥아더의 낙관적인 예측과는 달리 중공군이 한국전쟁에 병력을 투입한 것은 웨이크회담 바로 다음날이었으며, 미국은 그로부터도 열흘이나 지난 뒤에야 이 사실을 확인할 수 있었다."
10778,위기관리,"국내 또는 국제적 위기의 발생을 예방하고, 위기가 발생했을 경우에는 그 위기상황에 대하여 계속적인 통제를 행하면서 위기상황으로 인하여 야기될 수 있는 피해의 범위를 최소화하는 것을 말하며, 군사적인 위기상황의 경우에는 위기상황이 발생하였을 경우 그 위기상황이 전쟁으로 확대되는 사태를 방지하면서 평화적으로 문제를 해결하기 위해서 구축해 놓은 제도적 장치 및 절차, 또는 그러한 장치와 절차를 사용하여 문제를 해결하는 행동을 가리킨다."
10779,위기조치체제,"비상시에 또는 그에 준한 사태로 인하여 시간이 촉박한 상황에 처해 있을 때에 위기상황에 대한 조치를 수행하기 위하여 작전계획의 시행, 또는 국가통수기구의 의사 결정을 적시에 건의하기 위한 지침 및 절차를 제공하는 체제를 가리킨다."
10935,유도무기,"내부장치 또는 외부장치에서 전달되는 유도지령에 의하여 스스로의 경로 및 속도를 수정함으로써 지정된 어떤 지점 또는 목표에 도달하거나 명중하는 무기를 가리킨다. 유도의 방식에 따라 자이로와 가속도계 등을 이용하여 자신의 위치를 파악하고 이를 바탕으로 유도를 위한 경로수정을 행하는 관성유도와 외부에서 유도명령을 내리는 지령유도, 유도탄에 내장된 탐색기를 이용하는 호밍유도 및 이들을 복합적으로 사용하는 복합유도로 나뉘어진다. 이 중 호밍유도는 호밍의 방법에 따라 다시 능동, 반능동, 수동 호밍으로 나뉘어진다."
10983,유린공격,"신속하고 광범위한 전진으로 격파해가는 전투행위를 통한 공격을 가리킨다. 방어측 부대들이 유린된 상황은 공격시 전과확대 직전에 통상 일어나는데, 그러므로 유린이라는 용어는 주로 방어편성부대가 와해되었다는 의미를 내포하고 있으며, 유린공격을 통해 목표를 유린한다는 말은 공격부대가 목표상에서 정지하지 않는다는 의미를 가지고 있다. 전투에 있어 유린되는 대상은 방어편성부대의 진지 후방에 위치한 부대들로, 이에는 사령부와 야전포병부대 및 지원부대 등이 포함된다"
11024,유언비어,"사전적 의미로는 아무 근거 없이 널리 퍼진 풍설을 가리킨다. 뜬소문이라고도 하며, 심각한 자연재해나 강한 언론탄압, 내란이나 외환과 같은 전쟁상태 등으로 사회에 혼란이나 불안이 고조되었을 때 나타나기 쉽다. 심리전에서 회색선전의 일종으로 사용하기도 하는데, 유언비어를 퍼트리는 주체측이 그 출처를 정확히 밝히지 않는다는 점에서 백색선전이나 흑색선전과 구별된다. 유언비어는 유포대상 인원의 주요관심사로 내용에 타당성이 있어 보이면서도 그 진부를 쉽게 판별할 수 없으며 간단하면서도 여러 가지 의미가 함축된 것이어야 하며, 효과적으로 사용될 경우 특정 사실에 대한 대중의 의심을 조장, 사실화시켜 상대편에 불안과 동요를 부추기는 효과를 얻을 수 있다."
11028,유연반응전략,"미국에서 사용된 핵전략의 한 가지로, 핵무기의 사용 가능성을 열어 놓은 상태에서 상황에 따라 핵전력과 재래식 전력을 분쟁의 상황에 따라 적절히 운용한다는 대응전략을 가리킨다. 재래식 전력을 감축하고 핵전력만을 주축으로 하여 대량의 핵보복력을 바탕으로 전쟁에 대한 억지력을 유지한다는 이전의 대량보복전략이 국지전과 같은 분쟁에 대처하기 힘들다는 점이 드러나자 이를 대신하여 케네디 행정부 시대에 본격적으로 도입되었다. 이는 전면적인 핵전쟁에서부터 국지전과 침투, 전복 등의 게릴라 분쟁에 이르기까지의 모든 분야의 가능한 도전에 대하여 확전을 피하면서 억제와 방위를 달성할 수 있는 공격능력과 방어능력을 가지고 효과적으로 적절히 대응할 수 있는 능력을 보유한다는 개념에 입각한 전략이다."
11064,유탄발사기,"유탄을 발사할 수 있는 기구를 가리킨다. 대체로 단발식이며 지형에 크게 구애받지 않고 직사화기로 제압할 수 없는 사각지대나 엄폐된 적 진지에 대해 효과적으로 사격을 가할 수 있는 화기이다. 소총에 부착되는 부가물의 형태로 된 것과 자체적인 발사기로 나뉘어진다. 한국군에서 운용하고 있는 유탄발사기로는 베트남 전쟁 시기부터 사용되던 자체 발사기인 M79 유탄발사기와 소총 부착식인 M203 유탄발사기 및 이를 국산화한 K201 유탄발사기가 있으며, 이들은 모두 개인화기로 사용된다. 그 이외에 중대급 지원화기로 사용되는 K4 고속유탄발사기가 있으나 중량이 무거워 운반에는 차량이 필요하다."
11127,육탄 10용사,"개성 송악산 고지의 탈환을 위해 포탄을 안고 적 진지로 돌입하여 산화한 10명의 국군 장병을 가리킨다. 이들의 일화는 일반적으로 한국전쟁 때의 일로 알려져 있으나, 실제로는 한국전쟁 전인 1949년에 일어난 일이다. 인민군 제 1사단은 1949년 5월 3일 새벽, 제 3연대 병력 1천여 명을 동원하여 송악산 능선을 따라 기습 남침하여 38도선 남쪽 100m 지점에 나란히 연결된 292고지, 유엔고지, 155고지, 비둘기고지의 4개 고지를 점령하였다. 당 지역을 방위하고 있던 국군 제1사단(사단장 김석원 준장) 제11연대(연대장 최경록 대령)는 즉시 역습에 나섰으나, 10개소의 토치카에서 가해지는 완강한 저항으로 실패했다. 대안을 찾던 지휘부의 어느 지휘관이 육탄 공격법을 제안했고, 사단 시설장교 박후준 소위의 고안으로 81mm 박격포탄에 뇌관을 장치한 급조 폭발물을 만들어 이를 이용해 육탄공격을 하기로 결정하였다. 지원자를 모집한 결과 서부덕 이등상사(전사 후 소위 추서)를 공격대장으로 하는 김종해, 윤승원, 이회복, 박평서, 황금재, 양용순, 윤옥춘, 오제룡의 9명이 선발되어 5월 4일 오후 2시경 육탄 돌격으로 산화함과 동시에 적 토치카의 제압에 성공하였으며, 직후 후방에 대기하고 있던 김종훈 소령의 부대가 공격을 감행하여 고지를 탈환하였다. 또한 이에 앞서 정오 경, 중화기 소대 분대장 박창근 하사(전사 후 상사 추서)가 적의 토치카를 파괴하기 위해 단신으로 수류탄 7개를 들고 돌진하다 전사, 앞의 9용사에 박하사를 더하여 육탄 10용사라 칭하고 있다"
11151,을종사태,"통합방위사태의 종류 중 하나로, 일부 또는 수개지역에서 적의 침투도발로 인하여 단기간내에 치안 회복이 어려워 지역군사령관의 지휘통제하에 통합방위작전을 수행하여야 할 사태를 말한다. 지방경찰청장 또는 지역군사령관은 을종사태나 병종사태에 해당하는 상황이 발생한 때에는 즉시 시도지사에게 통합방위사태의 선포를 건의하여야 하며, 시도지사는 위 건의를 받은 때 시도협의회의 심의를 거쳐 을종사태 또는 병종사태를 선포할 수 있다. 또한 시도지사는 제5항의 규정에 의하여 을종사태 또는 병종사태를 선포한 때에는 지체없이 행정자치부장관 및 국방부장관과 국무총리를 거쳐 대통령에게 그 사실을 보고하여야 한다."
